English word,French word,Frequency
abide,respecter,23
about,sur,282
above,au dessus,79
abroad,à l'étranger,17
absence,absence,32
abuse,abuser de,21
according,selon,22
account,Compte,23
accuse,accuser,27
acquainted,connaissance,28
action,action,59
advantage,avantage,48
advice,Conseil,13
affairs,affaires,26
affection,affection,34
affections,affections,19
afraid,peur,23
after,après,257
afterwards,ensuite,28
again,encore,184
alive,vivant,26
almost,presque,128
alone,seul,54
along,le long de,51
already,déjà,53
although,bien que,31
always,toujours,53
ambition,ambition,15
ancient,ancien,57
angel,ange,33
anger,colère,26
another,un autre,232
answer,répondre,243
anything,n'importe quoi,60
apparel,vêtements,23
appear,apparaître,63
appears,apparaît,32
approach,approche,24
argument,argument,31
armour,armure,24
aside,de côté,19
asleep,endormi,8
assure,assurer,42
attend,assister,80
attended,assisté,14
authority,autorité,19
avoid,éviter,21
awake,éveillé,24
awhile,quelque temps,18
banish,bannir,28
barren,Dénudé,28
bastard,Connard,45
battle,bataille,62
beard,barbe,39
bearing,palier,49
bears,ours,74
beast,la bête,32
beaten,battu,30
beauty,beauté,128
because,car,78
become,devenir,110
before,avant,453
beggar,mendiant,20
begin,commencer,63
behalf,nom,16
behind,derrière,59
behold,voir,74
being,étant,515
believe,croyez,136
belike,être comme,11
below,au dessous de,17
benefit,avantage,25
besides,outre,25
betray,trahir,29
better,mieux,451
between,entre,175
beyond,au-delà,38
birth,naissance,25
bishop,évêque,3
bitter,amer,62
black,noir,104
blame,faire des reproches,50
bless,bénir,81
blessing,bénédiction,20
blest,heureux,30
blind,aveugle,45
blood,du sang,280
blows,coups,34
blunt,cru,20
blush,rougir,24
bodies,corps,25
bones,des os,31
borne,supporté,50
bottom,bas,27
bought,acheté,39
bound,lié,113
bounty,prime,21
brain,cerveau,33
brains,cerveaux,19
brave,courageux,130
breast,Sein,25
breath,souffle,96
breed,race,38
brief,bref,32
bright,brillant,43
bring,apporter,347
broke,cassé,64
brook,ruisseau,28
brother,frère,234
brought,apporté,172
brows,sourcils,19
burden,fardeau,24
buried,enterré,33
burning,brûlant,35
business,Entreprise,115
cannot,ne peux pas,656
captain,capitaine,26
cardinal,cardinal,2
cares,se soucie,26
carry,porter,67
castle,Château,12
catch,capture,52
cause,cause,180
cease,cesser,24
certain,certain,109
chain,chaîne,28
chair,chaise,13
challenge,défi,33
chamber,chambre,36
chance,chance,62
change,changement,109
charge,charge,120
charity,charité,20
chaste,chaste,20
cheek,joue,30
cheer,acclamation,38
chide,gronder,35
chief,chef,26
child,enfant,81
choice,choix,30
church,église,18
citizen,citoyenne,2
civil,civil,42
claim,prétendre,45
clear,clair,39
close,proche,59
clothes,vêtements,18
clouds,des nuages,28
clown,pitre,5
college,Université,3
colour,Couleur,40
comes,vient,474
comfort,confort,100
coming,venir,71
command,commander,74
commanded,commandé,18
commend,saluer,48
commission,commission,22
commit,commettre,19
common,commun,130
companion,un compagnon,19
company,entreprise,53
complete,Achevée,12
complexion,complexion,22
condition,état,23
conduct,conduite,38
confess,avouer,71
conscience,conscience,52
consent,consentement,40
consider,considérer,25
constable,gendarme,3
constant,constant,36
contempt,mépris,16
content,contenu,64
contrary,contraire,19
copies,copies,3
copyright,droits d'auteur,6
could,pourrait,516
council,conseil,8
counsel,Conseil,55
count,compter,28
counterfeit,contrefaire,25
country,pays,69
courage,courage,29
course,cours,83
court,tribunal,93
courtesy,courtoisie,14
cousin,cousin,92
coward,lâche,34
crave,demander,37
creature,créature,30
credit,crédit,29
cross,traverser,43
crown,couronne,100
cruel,cruel,53
cunning,ruse,54
curse,malédiction,59
custom,Douane,19
dagger,dague,23
damned,damné,42
dance,Danse,34
danger,danger,48
darkness,obscurité,23
daughter,fille,178
deadly,mortel,41
dearest,très cher,50
dearly,chèrement,19
death,décès,267
deeds,actes,64
defend,défendre,55
degree,diplôme,15
delight,délice,27
deliver,livrer,66
demand,demande,29
denied,refusé,35
depart,partir,30
desert,désert,22
deserve,mériter,41
desire,le désir,147
despair,désespoir,15
desperate,désespéré,40
despite,malgré,33
device,dispositif,14
devil,diable,111
devise,concevoir,28
didst,didst,138
dinner,dîner,20
discourse,discours,23
discover,découvrir,23
disgrace,disgrâce,26
dishonour,déshonorer,29
dispatch,envoi,23
displeasure,mécontentement,19
disposition,disposition,19
divine,Divin,23
doctor,docteur,10
doing,Faire,40
doors,des portes,25
double,double,61
doubt,doute,93
drawn,tiré,45
dread,crainte,39
dreadful,horrible,57
dream,rêver,52
dreams,rêves,22
drink,boisson,93
drops,gouttes,34
drown,noyer,33
drums,tambours,17
drunk,ivre,37
durst,durst,42
dwell,habiter,26
dying,en train de mourir,27
early,de bonne heure,34
earth,Terre,108
effect,effet,32
either,Soit,92
elbow,coude,4
elder,aîné,28
embrace,embrasse,46
emperor,empereur,5
empty,vide,36
encounter,rencontre,35
endure,supporter,48
enemies,ennemis,28
enemy,ennemi,66
enjoy,prendre plaisir,29
enough,assez,128
enter,entrer,84
entertain,divertir,33
entertainment,divertissement,13
entreat,supplier,91
equal,égal,40
estate,biens,20
eternal,éternel,33
every,chaque,442
everything,tout,30
excellent,excellent,69
except,sauf,18
excuse,excuse,40
execution,exécution,19
exeunt,sortir,2
express,Express,28
faces,visages,16
faint,perdre connaissance,26
fairy,Fée,29
faith,Foi,71
falls,des chutes,37
false,faux,194
familiar,familier,26
fancy,fantaisie,18
farewell,adieu,22
farther,plus loin,25
fashion,mode,51
fatal,fatal,37
father,père,362
fault,faute,80
favour,favoriser,57
fearful,craintif,73
fears,peurs,40
feast,le banquet,47
feeble,faible,18
fellow,compagnon,120
fetch,chercher,99
field,champ,51
fiend,démon,29
fierce,féroce,33
fiery,ardent,43
fight,bats toi,130
figure,figure,23
finds,trouve,31
finger,doigt,31
first,première,321
flatter,flatter,28
flesh,la chair,75
flies,mouches,29
flight,vol,14
flood,inonder,16
flourish,fleurir,20
flower,fleur,11
flowers,fleurs,23
follow,suivre,183
folly,folie,31
foolish,insensé,77
fools,imbéciles,54
forbear,ancêtre,18
forbid,interdire,34
force,Obliger,64
forces,les forces,18
forest,forêt,22
forget,oublier,60
former,ancien,59
forth,en avant,187
fortune,fortune,134
forward,vers l'avant,35
fought,combattu,37
found,a trouvé,153
fourth,Quatrième,8
frame,Cadre,31
freely,librement,31
fresh,Frais,73
friend,ami,143
frown,froncer les sourcils,22
fruit,fruit,20
further,plus loin,104
gallant,galant,46
garden,jardin,17
gates,portes,49
gaunt,décharné,2
general,général,120
gentle,doux,307
ghost,fantôme,8
given,donné,158
giving,donnant,30
glass,verre,25
glorious,glorieux,37
glory,gloire,54
going,Aller,60
golden,d'or,84
goodness,la bonté,29
grace,la grâce,144
grant,subvention,75
grave,la tombe,67
great,génial,731
green,vert,51
greet,saluer,36
grief,douleur,90
grieve,pleurer,34
gross,brut,38
ground,sol,49
grown,grandi,46
guard,garde,51
guess,devine,25
guilty,coupable,48
habit,habitude,21
hands,mains,139
hanging,pendaison,20
hangs,bloque,32
happiness,bonheur,26
happy,heureux,154
haste,hâte,63
hateful,odieux,38
having,ayant,106
hazard,danger,29
heads,têtes,48
health,santé,41
heard,entendu,265
heart,cœur,430
heaven,paradis,252
heavy,lourd,137
heels,talons,22
hence,Par conséquent,114
henceforth,désormais,23
hereafter,"""ci-après",11
herself,se,43
holds,tient,67
hollow,creux,38
honest,honnête,194
horse,cheval,99
hostess,hôtesse,10
hours,heures,76
house,maison,163
humble,humble,54
humour,humour,57
hundred,cent,103
husband,mari,114
ignorant,ignorant,34
image,image,34
includes,comprend,2
indeed,En effet,97
infinite,infini,28
innocent,innocent,37
instant,instant,39
intend,avoir l'intention,34
intent,intention,14
issue,problème,68
itself,lui-même,112
jealous,jaloux,35
jewel,bijou,31
judge,juge,31
judgment,jugement,45
justice,Justice,61
keeps,garde,61
kindness,la gentillesse,20
kingdom,Royaume,36
kings,rois,43
knave,fripon,59
kneel,s'agenouiller,31
knees,les genoux,22
knife,couteau,21
knight,Chevalier,34
knock,frappe,37
knowing,connaissance,25
knowledge,connaissance,40
known,connu,117
knows,sait,152
labour,la main d'oeuvre,38
ladies,Dames,38
ladyship,Madame,19
lands,terres,25
large,grand,49
laugh,rire,60
lawful,légitime,48
learn,apprendre,61
learned,appris,43
least,moins,59
leave,laisser,443
leisure,loisir,33
letter,lettre,102
liberty,liberté,21
library,bibliothèque,1
liege,Liege,3
lieutenant,lieutenant,6
light,lumière,128
limbs,membres,21
little,peu,380
lives,vies,106
living,vivant,74
longer,plus long,72
looks,regards,119
loose,ample,29
lords,seigneurs,54
lordship,seigneurie,60
lovely,charmant,51
lovers,les amoureux,33
loves,aime,140
loving,aimant,105
machine,machine,2
madness,la démence,28
maiden,jeune fille,34
maids,servantes,22
maintain,maintenir,28
majesty,majesté,19
makes,fait du,285
making,fabrication,44
malice,malice,39
manner,manière,59
march,Mars,48
marriage,mariage,45
marry,marier,100
master,Maître,187
match,rencontre,41
matter,matière,129
meaning,sens,25
means,veux dire,176
meant,signifiait,36
measure,mesure,58
meeting,réunion,24
memory,Mémoire,20
merchant,marchande,10
mercy,pitié,77
merit,mérite,29
merry,joyeux,92
messenger,Messager,22
midnight,minuit,18
might,pourrait,391
mighty,puissant,95
minds,esprits,30
minister,ministre,22
mirth,gaieté,19
mischief,sottises,21
misery,misère,13
mistake,erreur,21
mistress,maîtresse,79
modest,modeste,27
money,argent,88
monster,monstre,17
month,mois,21
morning,Matin,63
morrow,demain,19
mortal,mortel,80
mother,mère,143
motion,mouvement,40
mouth,bouche,52
murder,meurtre,34
murther,aller plus loin,17
music,la musique,79
myself,moi même,215
naked,nu,37
names,des noms,22
native,originaire de,41
natural,Naturel,49
nature,la nature,151
needs,Besoins,130
neighbour,voisine,26
neither,ni,95
never,jamais,822
niece,nièce,22
night,nuit,204
noble,noble,544
noise,bruit,66
nothing,rien,342
nought,néant,39
number,nombre,34
nurse,infirmière,20
oaths,serments,31
obedience,obéissance,17
object,objet,24
occasion,occasion,49
offence,infraction,42
offend,offenser,44
offer,offre,60
office,Bureau,59
often,souvent,112
opinion,opinion,38
order,ordre,61
other,autre,513
others,autres,54
ourselves,nous-mêmes,58
outward,vers l'extérieur,44
pains,des douleurs,38
painted,peint,41
painter,peintre,6
palace,palais,30
paper,papier,40
pardon,pardon,146
parted,séparé,27
particular,particulier,39
partly,partiellement,31
parts,les pièces,56
party,fête,36
passage,passage,26
passion,la passion,53
patience,la patience,48
patient,patient,32
peace,paix,132
people,gens,81
perceive,apercevoir,65
perfect,parfait,41
perhaps,peut-être,16
peril,péril,21
permission,autorisation,1
person,la personne,61
personal,personnel,12
picture,image,19
piece,pièce,69
pistol,pistolet,2
place,endroit,185
plague,peste,70
plain,plaine,68
